id,medicine_name,expiration_date,over_the_counter,chemical_compound,drug_interactions,additional_info
1,Aspirin,2024-05-01,false,Acetylsalicylic Acid,Warfarin;Ibuprofen;Naproxen,"Pregnant women should consult a doctor."
33,Duloxetine,2024-05-25,false,Duloxetine hydrochloride,MAOIs;Thioridazine,"May take several weeks for full effect."
34,Carvedilol,2025-12-10,false,Carvedilol,Lithium;Verapamil,"Report any sudden weight gain or swelling."
35,Hydrocodone,2024-09-08,false,Hydrocodone bitartrate,MAOIs;Cimetidine,"May cause drowsiness, avoid driving."
36,Escitalopram,2024-11-15,false,Escitalopram oxalate,MAOIs;NSAIDs,"Report any unusual changes in mood or behavior."
37,Metronidazole,2024-06-20,false,Metronidazole,Alcohol;Warfarin,"Avoid alcohol during treatment."
38,Clonazepam,2024-01-25,false,Clonazepam,Alcohol;CNS depressants,"Avoid grapefruit juice during treatment."
39,Amiodarone,2024-10-05,false,Amiodarone hydrochloride,Grapefruit juice;Simvastatin,"Regular monitoring of lung function is essential."
40,Ciprofloxacin,2024-07-28,false,Ciprofloxacin hydrochloride,Warfarin;Theophylline,"Take 2 hours before or 6 hours after antacids or multivitamins."
41,Mirtazapine,2024-02-10,false,Mirtazapine,MAOIs;Thioridazine,"May cause drowsiness, avoid driving."
42,Quetiapine,2025-10-22,false,Quetiapine fumarate,Lithium;Carbamazepine,"Report any changes in vision or eye health."
43,Spironolactone,2024-06-05,false,Spironolactone,Lithium;Potassium supplements,"Monitor electrolyte levels regularly."
44,Tamsulosin,2023-12-12,false,Tamsulosin hydrochloride,Verapamil;Doxazosin,"May cause dizziness, rise slowly from sitting or lying position."
45,Fluticasone,2024-08-25,false,Fluticasone propionate,Ritonavir;Ketoconazole,"Rinse mouth after use to prevent oral fungal infections."
46,Tramadol,2025-11-01,false,Tramadol hydrochloride,MAOIs;Serotonin reuptake inhibitors,"May cause drowsiness, avoid driving."
47,Atenolol,2024-07-15,false,Atenolol,Lithium;Verapamil,"Do not stop abruptly, consult your doctor."
48,Olanzapine,2025-10-30,false,Olanzapine,Lithium;Carbamazepine,"May cause drowsiness, avoid driving."
49,Amlodipine,2024-04-20,false,Amlodipine besylate,Simvastatin;Lithium,"Report any swelling in the ankles or feet."
50,Risperidone,2025-12-08,false,Risperidone,Lithium;Carbamazepine,"May cause drowsiness, avoid driving."
51,Latanoprost,2024-09-02,false,Latanoprost,Pilocarpine;Timolol,"Report any changes in eye color or vision."
52,Lorazepam,2024-11-25,false,Lorazepam,Alcohol;CNS depressants,"Avoid grapefruit juice during treatment."
53,Celecoxib,2024-05-08,false,Celecoxib,Lithium;Warfarin,"Report any signs of gastrointestinal bleeding."
54,Diclofenac,2023-12-18,true,Diclofenac sodium,Warfarin;Lithium,"Take with food or milk to reduce stomach upset."
55,Valsartan,2024-06-15,false,Valsartan,Lithium;Potassium supplements,"Monitor blood pressure regularly."
56,Rivastigmine,2024-10-10,false,Rivastigmine tartrate,NSAIDs;Cimetidine,"May cause nausea, take with food."
57,Metoprolol,2024-03-05,false,Metoprolol succinate,Verapamil;Cimetidine,"Do not stop abruptly, consult your doctor."
58,Pantoprazole,2025-11-12,false,Pantoprazole sodium,Warfarin;Clopidogrel,"Take on an empty stomach in the morning."
59,Hydralazine,2024-07-02,false,Hydralazine hydrochloride,Lithium;NSAIDs,"May cause dizziness, rise slowly from sitting or lying position."
60,Enalapril,2026-10-18,false,Enalapril maleate,Aliskiren;Lithium,"Not recommended during pregnancy."
61,Metformin,2024-04-05,false,Metformin extended-release,Cimetidine;Furosemide,"Monitor kidney function regularly."
62,Clarithromycin,2024-12-28,false,Clarithromycin,Warfarin;Statins,"Take with food to reduce stomach upset."
63,Meloxicam,2024-09-15,false,Meloxicam,Warfarin;Lithium,"Report any signs of gastrointestinal bleeding."
64,Fluconazole,2024-11-30,false,Fluconazole,Warfarin;Statins,"May cause liver problems, report any yellowing of the skin or eyes."
65,Lisinopril,2024-07-10,false,Lisinopril hydrochlorothiazide,Aliskiren;Lithium,"Not recommended during pregnancy."
66,Sildenafil,2023-12-25,false,Sildenafil citrate,Nitrates;Riociguat,"Seek medical attention for prolonged erection."
67,Aripiprazole,2024-06-08,false,Aripiprazole,Lithium;Carbamazepine,"May cause drowsiness, avoid driving."
68,Cefuroxime,2025-11-20,false,Cefuroxime axetil,Probenecid;Methotrexate,"Complete the full course as prescribed."
69,Benazepril,2024-04-15,false,Benazepril hydrochlorothiazide,Aliskiren;Lithium,"Not recommended during pregnancy."
70,Rabeprazole,2026-12-10,false,Rabeprazole sodium,Warfarin;Clopidogrel,"Take on an empty stomach in the morning."
71,Methadone,2024-09-05,false,Methadone hydrochloride,MAOIs;Serotonin reuptake inhibitors,"May cause drowsiness, avoid driving."
72,Esomeprazole,2025-11-15,false,Esomeprazole magnesium,Warfarin;Clopidogrel,"Take on an empty stomach in the morning."
73,Venlafaxine,2024-05-20,false,Venlafaxine extended-release,MAOIs;Lithium,"Report any changes in mood or behavior."
74,Budesonide,2024-10-02,false,Budesonide,Warfarin;Ketoconazole,"Rinse mouth after use to prevent oral fungal infections."
75,Propranolol,2024-07-25,false,Propranolol hydrochloride,Verapamil;Cimetidine,"Do not stop abruptly, consult your doctor."
76,Oxycodone,2023-12-20,false,Oxycodone hydrochloride,MAOIs;Serotonin reuptake inhibitors,"May cause drowsiness, avoid driving."
77,Dulcolax,2024-06-18,true,Bisacodyl,None,"For short-term use only; consult a doctor if symptoms persist."
78,Levofloxacin,2024-11-05,false,Levofloxacin,Warfarin;Theophylline,"Take 2 hours before or 6 hours after antacids or multivitamins."
79,Citalopram,2024-04-30,false,Citalopram hydrobromide,MAOIs;NSAIDs,"Report any unusual changes in mood or behavior."
80,Clozapine,2023-12-15,false,Clozapine,Lithium;Carbamazepine,"May cause drowsiness, avoid driving."
81,Labetalol,2024-09-10,false,Labetalol hydrochloride,Verapamil;Cimetidine,"Do not stop abruptly, consult your doctor."
